,Región,Zona,Cuadrante,Población,Escuelas,Perfil socioeconómico,Número de policías,Tasa de policías por habitantes,Tasa de delitos por 10 mil habitantes,Reportes por delitos,Detenidos por delitos,Detenidos por faltas administrativas
0,1,Centro Histórico,1,7639,64,Medio,22,28.7995811,20.95,16,2,21
1,1,Centro Histórico,2,1587,20,Medio,32,201.6383113,94.52,15,3,4
2,1,Centro Histórico,3,2831,13,Medio,32,113.0342635,45.92,13,6,31
3,1,Centro Histórico,4,2809,39,Medio,32,113.9195443,89.09,25,3,15
4,1,1 Alfa,1,11367,91,Medio,25,21.99348993,24.63,28,6,3
5,1,1 Alfa,2,9851,106,Medio,40,40.60501472,38.57,38,4,18
6,1,1 Alfa,3,21840,65,Medio,41,18.77289377,12.82,28,13,7
7,1,1 Beta,1,40255,47,Medio,30,7.452490374,9.69,39,2,11
8,1,1 Beta,2,42144,95,Medio,30,7.118451025,13.29,56,12,3
9,1,1 Beta,3,23361,55,Medio,50,21.40319336,13.27,31,3,14
10,1,2 Alfa,1,18008,65,Medio-alto,44,24.43358507,27.21,49,4,3
11,1,2 Alfa,2,20544,54,Medio-alto,42,20.44392523,11.2,23,1,1
12,1,2 Alfa,3,26558,55,Medio-alto,40,15.0613751,12.8,34,1,6
13,1,2 Beta,1,19578,104,Medio-alto,32,16.3448769,16.34,32,6,9
14,1,2 Beta,2,17700,55,Medio-alto,23,12.99435028,16.38,29,1,2
15,1,2 Beta,3,9425,51,Medio-alto,23,24.40318302,42.44,40,2,3
16,2,3,1,56216,100,Medio-alto,21,3.735591291,17.61,99,2,15
17,2,3,2,48035,45,Medio,16,3.330904549,6.87,33,4,8
18,2,3,3,52608,52,Medio,11,2.09093674,4.37,23,3,3
19,2,3,4,50532,39,Medio,13,2.572627246,4.95,25,1,14
20,2,4,1,68018,51,Medio-bajo,17,2.49933841,3.68,25,3,26
21,2,4,2,64965,30,Medio-bajo,16,2.462864619,2.92,19,1,14
22,2,4,3,50423,86,Medio-bajo,15,2.974832914,5.95,30,2,18
23,2,4,4,46078,59,Medio-bajo,23,4.991536091,5.43,25,2,11
24,2,5 Alfa,1,45530,45,Medio-bajo,23,5.05161432,6.15,28,4,5
25,2,5 Alfa,2,48053,64,Medio-bajo,30,6.24310657,7.7,37,8,8
26,2,5 Alfa,3,43971,40,Medio-bajo,26,5.912988106,9.32,41,2,5
27,3,5 Beta,1,44293,32,Medio,18,4.063847561,9.93,44,2,2
28,3,5 Beta,2,33485,55,Medio,16,4.778258922,10.45,35,5,25
29,3,5 Beta,3,39349,77,Medio,14,3.557904902,10.67,42,4,2
30,2,6,1,29810,55,Medio-bajo,16,5.367326401,10.3,41,3,3
31,2,6,2,59611,53,Medio-bajo,12,2.013051282,3.69,22,9,73
32,2,6,3,59599,62,Medio-bajo,15,2.516820752,5.87,35,8,14
33,2,6,4,55723,32,Medio-bajo,13,2.332968433,5.2,29,5,4
34,3,7 Alfa,1,52171,69,Medio,12,2.300128424,5.56,29,6,4
35,3,7 Alfa,2,45021,56,Medio,12,2.665422803,6.44,29,0,41
36,3,7 Alfa,3,58614,61,Medio bajo,12,2.047292456,6.65,39,1,6
37,3,7 Alfa,4,30732,49,Medio-bajo,12,3.904724717,10.41,32,2,3
38,3,7 Beta,1,49067,63,Medio bajo,18,3.668453339,3.46,17,5,27
39,3,7 Beta,2,50574,33,Medio bajo,13,2.570490766,3.95,20,1,10
40,3,7 Beta,3,27209,30,Medio,16,5.880407218,0.81,22,6,10
